CustomerID,CustomerName,Email,PhoneNumber,Location,LoyaltyProgram,CustomerType
1,Customer 1,customer1@example.com,417-374-8593,New York,False,VIP
2,Customer 2,customer2@example.com,448-181-9175,Chicago,True,Premium
3,Customer 3,customer3@example.com,686-377-6910,Houston,False,Premium
4,Customer 4,customer4@example.com,250-499-1459,Los Angeles,False,Regular
5,Customer 5,customer5@example.com,875-626-5225,Chicago,False,Regular
6,Customer 6,customer6@example.com,811-199-6428,Houston,False,Premium
7,Customer 7,customer7@example.com,720-762-1521,Houston,False,VIP
8,Customer 8,customer8@example.com,100-138-5844,New York,True,Regular
9,Customer 9,customer9@example.com,793-749-5736,Los Angeles,True,VIP
10,Customer 10,customer10@example.com,351-674-4943,New York,False,VIP
11,Customer 11,customer11@example.com,714-127-9601,Chicago,True,Regular
12,Customer 12,customer12@example.com,286-861-4071,Los Angeles,True,VIP
13,Customer 13,customer13@example.com,999-526-6072,Miami,True,Regular
14,Customer 14,customer14@example.com,271-366-4573,Los Angeles,False,Regular
15,Customer 15,customer15@example.com,829-404-5835,Miami,False,VIP
16,Customer 16,customer16@example.com,164-988-8060,Miami,False,Premium
17,Customer 17,customer17@example.com,471-283-4842,Miami,True,VIP
18,Customer 18,customer18@example.com,888-851-5280,Los Angeles,False,Regular
19,Customer 19,customer19@example.com,212-159-6146,Chicago,True,Regular
20,Customer 20,customer20@example.com,275-619-5352,Chicago,False,Premium
21,Customer 21,customer21@example.com,753-642-3083,Houston,True,VIP
22,Customer 22,customer22@example.com,931-577-3072,Miami,True,Regular
23,Customer 23,customer23@example.com,231-806-5208,Chicago,True,VIP
24,Customer 24,customer24@example.com,724-562-5001,Los Angeles,True,Regular
25,Customer 25,customer25@example.com,311-401-4103,Miami,True,Premium
26,Customer 26,customer26@example.com,998-394-9527,Miami,True,Regular
27,Customer 27,customer27@example.com,936-808-5247,Chicago,False,Regular
28,Customer 28,customer28@example.com,821-140-7401,Miami,False,VIP
29,Customer 29,customer29@example.com,133-725-5327,Los Angeles,True,VIP
30,Customer 30,customer30@example.com,223-733-8523,Los Angeles,True,VIP
31,Customer 31,customer31@example.com,507-234-4001,Chicago,True,Regular
32,Customer 32,customer32@example.com,386-493-8242,New York,True,VIP
33,Customer 33,customer33@example.com,153-278-5108,New York,True,Premium
34,Customer 34,customer34@example.com,295-341-9994,New York,True,VIP
35,Customer 35,customer35@example.com,678-703-8833,Houston,True,VIP
36,Customer 36,customer36@example.com,227-205-7205,New York,True,Regular
37,Customer 37,customer37@example.com,241-994-9435,Miami,True,Premium
38,Customer 38,customer38@example.com,922-294-6241,Los Angeles,True,Regular
39,Customer 39,customer39@example.com,400-790-5933,Miami,False,VIP
40,Customer 40,customer40@example.com,268-791-2544,Houston,False,VIP
41,Customer 41,customer41@example.com,563-450-7197,Miami,False,Premium
42,Customer 42,customer42@example.com,453-761-7353,Miami,False,VIP
43,Customer 43,customer43@example.com,421-224-6305,Los Angeles,True,VIP
44,Customer 44,customer44@example.com,393-463-5113,Houston,False,Premium
45,Customer 45,customer45@example.com,302-602-7331,Miami,False,Premium
46,Customer 46,customer46@example.com,125-845-6114,New York,True,Premium
47,Customer 47,customer47@example.com,424-263-6548,Miami,False,Premium
48,Customer 48,customer48@example.com,505-964-6864,Chicago,False,Premium
49,Customer 49,customer49@example.com,549-854-2314,Miami,False,Regular
50,Customer 50,customer50@example.com,927-428-5384,Miami,True,VIP
51,Customer 51,customer51@example.com,190-381-2494,Los Angeles,False,Regular
52,Customer 52,customer52@example.com,511-902-9428,Houston,True,Regular
53,Customer 53,customer53@example.com,521-486-4431,Los Angeles,True,VIP
54,Customer 54,customer54@example.com,351-884-7564,Chicago,True,Regular
55,Customer 55,customer55@example.com,502-856-7930,New York,False,Regular
56,Customer 56,customer56@example.com,351-644-1360,Chicago,True,Premium
57,Customer 57,customer57@example.com,904-526-1611,Miami,True,Regular
